geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037124902,6037124902,2022,3301,176,533.17175,24.235081,8,209.02757,69,299.90912,99,Master only (1)
1400000US06037124903,6037124903,2022,3744,120,320.51282,13.354701,5,178.95299,67,128.20512,48,Master only (1)
1400000US06037125101,6037125101,2022,3978,251,630.97034,42.735043,17,314.22824,125,271.49323,108,Master only (1)
1400000US06037125102,6037125102,2022,1948,57,292.60779,0,0,205.33881,40,87.268997,17,Master only (1)
1400000US06037125200,6037125200,2022,3889,323,830.54767,87.426071,34,395.98868,154,341.99023,133,Master only (1)
1400000US06037125310,6037125310,2022,3598,377,1047.8043,105.61423,38,380.76709,137,561.42303,202,Master only (1)
1400000US06037125321,6037125321,2022,2761,37,134.00941,0,0,76.059402,21,57.95002,16,Master only (1)
1400000US06037125322,6037125322,2022,1981,389,1963.6547,186.77435,37,1080.2625,214,696.61786,138,Master only (1)
1400000US06037125402,6037125402,2022,4403,292,663.1842,74.948898,33,340.67682,150,245.28731,108,Master only (1)
1400000US06037125403,6037125403,2022,2571,132,513.41888,62.232594,16,213.92455,55,237.26176,61,Master only (1)
1400000US06037125404,6037125404,2022,2886,341,1181.5662,145.53015,42,561.33057,162,467.77548,135,Master only (1)
1400000US06037125501,6037125501,2022,2871,209,727.96936,45.280392,13,358.76001,103,323.92896,93,Master only (1)
1400000US06037125502,6037125502,2022,3624,152,419.42606,27.593819,10,251.10376,91,135.20972,49,Master only (1)
1400000US06037125600,6037125600,2022,2941,68,231.21387,13.600816,4,105.40633,31,108.80653,32,Master only (1)
1400000US06037127102,6037127102,2022,4956,324,653.75305,62.550446,31,240.11299,119,351.0896,174,Master only (1)
1400000US06037127103,6037127103,2022,3360,114,339.28571,29.761906,10,113.09524,38,193.45238,65,Master only (1)
1400000US06037127104,6037127104,2022,4385,152,346.63626,18.244013,8,177.87914,78,150.51311,66,Master only (1)
1400000US06037127210,6037127210,2022,5630,810,1438.7212,134.99112,76,770.87036,434,531.0835,299,Master only (1)
1400000US06037127220,6037127220,2022,5219,134,256.75418,19.160759,10,99.635948,52,137.95746,72,Master only (1)
1400000US06037127300,6037127300,2022,3942,212,537.7981,40.588535,16,258.75189,102,238.45764,94,Master only (1)
1400000US06037127400,6037127400,2022,5855,485,828.35181,81.981216,48,449.18872,263,297.18188,174,Master only (1)
1400000US06037127520,6037127520,2022,4722,191,404.48962,33.883949,16,177.89073,84,190.5972,90,Master only (1)
1400000US06037127603,6037127603,2022,2791,73,261.55499,10.748836,3,128.98602,36,121.82014,34,Master only (1)
1400000US06037127604,6037127604,2022,3141,87,276.98184,19.102198,6,127.34798,40,130.53168,41,Master only (1)
1400000US06037127605,6037127605,2022,3734,167,447.24158,72.308517,27,174.07607,65,200.85699,75,Master only (1)
1400000US06037127606,6037127606,2022,3110,125,401.92926,64.308685,20,160.7717,50,176.84888,55,Master only (1)
1400000US06037127711,6037127711,2022,3207,487,1518.5532,127.84534,41,770.19019,247,614.28125,197,Master only (1)
